"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774587235943465444","Sun Mar 31 23:59:01 +0000 2024","0","Perasaanku sekarang lagi dipenuhi sama rasa cintaku ke seseorang dan aku berusaha buat itu","1774587235943465444","","","in","","0","0","0","https://x.com/mahvudjaynah/status/1774587235943465444","1261081393","mahvudjaynah"
"1774418367820230748","Sun Mar 31 23:56:37 +0000 2024","0","@odankerwin @zahratunnisaf Kata siapa bre gw lebih dominan penumpang yang ngomel padahal ya dia yang ngasih alamat kita kan driver nganter sesuai titik ","1774586629228843143","","odankerwin","in","Gambir, Indonesia","0","0","0","https://x.com/DimasArik21/status/1774586629228843143","1765021871240777728","DimasArik21"
"1774586058107433186","Sun Mar 31 23:54:21 +0000 2024","0","Win streak puasa pecah 1 ","1774586058107433186","","","in","","0","0","0","https://x.com/ItsCamoueryTwt/status/1774586058107433186","1044082794","ItsCamoueryTwt"
"1774585911818527042","Sun Mar 31 23:53:46 +0000 2024","21","Udah lama ga berangkat naik KRL https://t.co/EtOLAuERH7","1774585911818527042","https://pbs.twimg.com/media/GKCYeQObMAAMDWw.jpg","","in","","0","2","1","https://x.com/DukuhAtasBNI2/status/1774585911818527042","1504321891070185480","DukuhAtasBNI2"
"1774418367820230748","Sun Mar 31 23:52:50 +0000 2024","0","@zahratunnisaf Lah gw juga begitu malah ku gratisin misal ada kesalahan dari saya misal ntah itu batrei motor abis entah itu kesalahan lalu lintas Indonesia juga ada kok meskipun tidak semua","1774585676035666389","","zahratunnisaf","in","Gambir, Indonesia","0","0","0","https://x.com/DimasArik21/status/1774585676035666389","1765021871240777728","DimasArik21"
"1774584044187242942","Sun Mar 31 23:52:28 +0000 2024","0","xi xixixixi.........","1774585587074470288","","dimasbagus9988","in","","0","1","0","https://x.com/dimasbagus9988/status/1774585587074470288","1720023455436099584","dimasbagus9988"
"1774351019738329089","Sun Mar 31 23:52:14 +0000 2024","0","@pelangicoming @Muhamma28175295 @tiesym @MafiaWasit dr jaman evan dimas sampe egy witan masalahnya selalu dan selalu ga betah paling template biasanya masalah keluarga wkwkwk. harapan satu2nya ada di marceng yg keknya agak wani jg disana masi seumur jagung sih but we'll see klo nanti tiba2 dia pulang alasan keluarga ya kelar","1774585528463327691","","pelangicoming","in","","0","2","0","https://x.com/SkylerWhore/status/1774585528463327691","1657656257808052226","SkylerWhore"
"1774578302428344567","Sun Mar 31 23:51:37 +0000 2024","0","@urfavboiiz Gabisa","1774585373555036415","","urfavboiiz","in","","0","0","0","https://x.com/DukuhAtasBNI2/status/1774585373555036415","1504321891070185480","DukuhAtasBNI2"
"1774048415498015016","Sun Mar 31 23:50:33 +0000 2024","1","@Dimas_Aldiansah Met puasa yaaaa moga lancaaar ️","1774585104603697635","","Dimas_Aldiansah","in","","0","1","0","https://x.com/elmiraeff/status/1774585104603697635","46309974","elmiraeff"
"1774585004552802477","Sun Mar 31 23:50:09 +0000 2024","0","Wuih bareng anak Hinatazaka46","1774585004552802477","","","in","","0","0","0","https://x.com/ItsCamoueryTwt/status/1774585004552802477","1044082794","ItsCamoueryTwt"
"1774583457089503591","Sun Mar 31 23:47:37 +0000 2024","0","@PTJASAMARGA ada yang celaka truk pecah ban. Udh ada petugas https://t.co/t4kE2Dopzx","1774584363281461447","https://pbs.twimg.com/media/GKCXEZbaMAAnmBj.jpg","dimasrsw","in","Jakarta Capital Region","0","1","0","https://x.com/dimasrsw/status/1774584363281461447","1464423978","dimasrsw"
"1774583602162110578","Sun Mar 31 23:44:35 +0000 2024","1","Setidaknya mereka punya satu sama lain dan saling mencintai. Gak kayak lo modelan orang kayak tai yg dapet affection cuma dari modal kontol lo bisa dipakek apa kagak.","1774583602162110578","","","in","","0","0","0","https://x.com/mahvudjaynah/status/1774583602162110578","1261081393","mahvudjaynah"
"1774583457089503591","Sun Mar 31 23:44:00 +0000 2024","0","@PTJASAMARGA tol Pd Ranji arah Ciledug/Joglo macet https://t.co/4wsVvSnE21","1774583457089503591","https://pbs.twimg.com/media/GKCWPo-bIAAbXpx.jpg","PTJASAMARGA","in","Jakarta Capital Region","0","2","0","https://x.com/dimasrsw/status/1774583457089503591","1464423978","dimasrsw"
"1774582748902289526","Sun Mar 31 23:41:12 +0000 2024","0","Wkwkwk april mop","1774582748902289526","","","in","","0","0","0","https://x.com/coudimho/status/1774582748902289526","1629712795","coudimho"
"1774475463752314991","Sun Mar 31 23:39:05 +0000 2024","0","@muhammaroke jgn suudzon","1774582217500762454","","BarisanPemudaRI","in","Indonesia","0","0","0","https://x.com/Dimas_sigitp/status/1774582217500762454","872256088455786497","Dimas_sigitp"
"1774406795500671443","Sun Mar 31 23:36:57 +0000 2024","0","@kegblgnunfaedh Pasti menjadi hal terbiasa akhirnya kena batunya ","1774581681745465501","","kegblgnunfaedh","in","Gambir, Indonesia","0","0","0","https://x.com/DimasArik21/status/1774581681745465501","1765021871240777728","DimasArik21"
"1774296405282320677","Sun Mar 31 23:28:54 +0000 2024","0","@kegblgnunfaedh Gimana ini TNI masa satu kompi di bunuh sendiri pak","1774579652964778336","","kegblgnunfaedh","in","Gambir, Indonesia","0","0","0","https://x.com/DimasArik21/status/1774579652964778336","1765021871240777728","DimasArik21"
"1774392845178425541","Sun Mar 31 23:27:21 +0000 2024","0","@A_ZeeJKT48 Aku kangennnn","1774579266174460207","","_zeeasadel","in","","0","0","0","https://x.com/DimasBayuPray96/status/1774579266174460207","1427391165070905362","DimasBayuPray96"
"1774579250945053021","Sun Mar 31 23:27:18 +0000 2024","0","Bangun-bangun mata kanan merah banget mana belekan pula. Hadeh.","1774579250945053021","","","in","MDNI.","0","1","0","https://x.com/phllocaiist/status/1774579250945053021","1612094092615495680","phllocaiist"
"1774541182464614556","Sun Mar 31 22:12:56 +0000 2024","0","@kriptoddd @Imaginary_Ones @ParamLaboratory @GetBlockGames Belom ada info lanjut lagi ditunggu aja ya $BUBBLE $BLOCK $PARAM","1774560537936122221","","zkkripto","in","","0","0","0","https://x.com/Tousnesol_/status/1774560537936122221","1203709072819642369","Tousnesol_"
"1774438738829213927","Sun Mar 31 22:11:33 +0000 2024","0","@kangdede78 Pemimpin ngawur","1774560187837501864","","kangdede78","in","","0","0","0","https://x.com/dimasaitu_/status/1774560187837501864","116132999","dimasaitu_"
"1774543078327808198","Sun Mar 31 22:09:16 +0000 2024","0","@reze_tolka @idn_abroad Kalo bener sikat aja tuh Dimas diumur 27 tahun cocok lah ke Liga Malaysia","1774559613314343415","","reze_tolka","in","","0","0","0","https://x.com/oL0fRPXaen25817/status/1774559613314343415","1681555585240825856","oL0fRPXaen25817"
"1774478254453452943","Sun Mar 31 22:06:04 +0000 2024","0","@97O1fm apa anj apa","1774558809958293908","","97O1fm","in","kno - yia","0","0","0","https://x.com/willbehers_/status/1774558809958293908","1101859766651908096","willbehers_"
